formula,Curie_TC_K,structure_type,synagonia,anisotropy_MJm3,easy_axis,cif_stored_name,source,comment,created_at,client_ip
MgFe2O4,713,,кубическая,-0.003,,,Table 11.23 spinel ferrites RT,K1 from kJ/m3 divided by 1000; a0=836pm Ms=0.18MAm lambda_s=-6e-6 rho=1e5 Ohm m; type I inverse,2026-03-22T14:00:00.000Z,manual-import
Li0.5Fe2.5O4,943,,кубическая,-0.008,,,Table 11.23 spinel ferrites RT,K1 kJ/m3 to MJ/m3; a0=829pm Ms=0.33MAm lambda=-8e-6 rho=1 Ohm m,2026-03-22T14:00:00.000Z,manual-import
MnFe2O4,575,,кубическая,-0.003,,,Table 11.23 spinel ferrites RT,K1 kJ/m3 to MJ/m3; a0=852pm Ms=0.50MAm type I,2026-03-22T14:00:00.000Z,manual-import
CoFe2O4,790,,кубическая,0.29,,,Table 11.23 spinel ferrites RT,K1 290kJ/m3=0.29MJ/m3; a0=839pm Ms=0.45MAm lambda=-110e-6,2026-03-22T14:00:00.000Z,manual-import
NiFe2O4,865,,кубическая,-0.007,,,Table 11.23 spinel ferrites RT,K1 kJ/m3 to MJ/m3; a0=834pm Ms=0.33MAm lambda=-25e-6 rho=1e2,2026-03-22T14:00:00.000Z,manual-import
ZnFe2O4,,,кубическая,,,,Table 11.23 spinel ferrites RT,TN=9K normal spinel N-type; a0=844pm Ms K1 lambda empty rho=1,2026-03-22T14:00:00.000Z,manual-import
gamma-Fe2O3,985,,кубическая,-0.005,,,Table 11.23 spinel ferrites RT,Tc estimate footnote(b); a0=834pm Ms=0.43MAm K1 -5kJ/m3; reverts alpha-Fe2O3 above 800K,2026-03-22T14:00:00.000Z,manual-import
SrFe12O19,746,,гексагональная,0.35,,,Table 11.24 hexagonal ferrites (SrM),T11.24 a=589pm c=2304pm m0=20.2muB/fu Ms=0.38MAm mu0H0=1.8T kappa=1.4,2026-03-22T14:00:00.000Z,manual-import
PbFe12O19,725,,гексагональная,0.25,,,Table 11.24 hexagonal ferrites (PbM),T11.24 a=590pm c=2309pm m0=19.6muB/fu Ms=0.33MAm mu0H0=1.5T kappa=1.4,2026-03-22T14:00:00.000Z,manual-import
BaFe16O27,728,,гексагональная,0.30,,,Table 11.24 W-type hexagonal ferrite (BaW),T11.24 a=588pm c=3250pm m0=27.6muB/fu Ms=0.41MAm mu0H0=1.5T kappa=1.2,2026-03-22T14:00:00.000Z,manual-import
Ba2Fe24O46,735,,гексагональная,0.30,,,Table 11.24 X-type hexagonal ferrite (BaX),T11.24 a=588pm c=5570pm m0=47.5muB/fu Ms=0.28MAm mu0H0=1.6T kappa=1.3,2026-03-22T14:00:00.000Z,manual-import
FeS,588,,гексагональная,0.01,,,Table 11.26 NiAs-type sulphides/selenides,T11.26 af Ms=0.63MAm,2026-03-22T14:00:00.000Z,manual-import
Fe7S8,598,,гексагональная,0.32,,,Table 11.26 NiAs-type sulphides/selenides,T11.26 fi Ms=0.15MAm,2026-03-22T14:00:00.000Z,manual-import
Fe3S4,600,,гексагональная,1.2,,,Table 11.26 NiAs-type sulphides/selenides,T11.26 fi Ms=0.58MAm kappa=1.7,2026-03-22T14:00:00.000Z,manual-import
Fe7Se8,448,,гексагональная,0.25,,,Table 11.26 NiAs-type sulphides/selenides,T11.26 fi Ms=0.07MAm,2026-03-22T14:00:00.000Z,manual-import
Fe3Se4,314,,гексагональная,,,,Table 11.26 NiAs-type sulphides/selenides,T11.26 fi Ms~0 K1 n.a.,2026-03-22T14:00:00.000Z,manual-import
